Date,time,humidity,temperature,pressure,gyro_pitch,gyro_roll,gyro_yaw,accel_pitch,accel_roll,accel_yaw,accel_x,accel_y,accel_z,magnet_x,magnet_y,magnet_z,Lat_deg,lat_min,lat_sec,long_deg,long_min,long_sec
2019-04-15,01:24:39,34.51998,33.62277,34.51998,2.33760385546313,209.273789622746,12.69802090767,2.3161075425978,213.597886763633,12.6231748409713,-0.003455699188635,0.025978805497289,0.013890719972551,16.2007026672363,1.80199897289276,-0.466376185417175,41,14,10.2,46,57,34.5
2019-04-15,01:24:50,34.57934,33.64174,34.57934,6.12572900854634,331.311036900885,340.147419969765,6.08777876997045,333.143194164606,340.18531385928,-0.003208863316104,0.02670718356967,0.013647023588419,16.2714996337891,2.19555592536926,-1.2598717212677,40,49,56.8,47,41,19.1
2019-04-15,01:25:01,34.69064,33.58482,34.69064,33.1199766061745,95.5107698815737,0.379216344906913,32.5734897555872,94.8191927375424,0.206103266062022,-0.001727849594317,0.025978805497289,0.010478964075446,16.499662399292,2.21730303764343,-1.71415972709656,40,25,24.9,48,24,29.7
2019-04-15,01:25:12,34.91695,33.54688,34.91695,2.04550846773,211.065539487338,16.0491311343053,2.02794890514755,215.369870060766,15.9858938278748,-0.003455699188635,0.027678353711963,0.013159629888833,16.8593845367432,2.26090002059937,-1.94683599472046,40,0,35.1,49,7,6.8
2019-04-15,01:25:23,34.45691,33.48996,34.45691,6.2804673710798,332.365046080392,342.797377980926,6.31209157382378,334.150978331357,342.766821422127,-0.002221520757303,0.02670718356967,0.016327690333128,17.0552730560303,2.57070207595825,-2.07425093650818,39,35,27.7,49,49,10.9
2019-04-15,01:25:34,34.84275,33.5279,34.84275,32.8141173200468,96.2752729553732,3.46356758377231,32.3162306804987,95.5312604490837,3.29195587922457,-0.001481013838202,0.02670718356967,0.00999157037586,16.8011913299561,3.1141254901886,-1.87046194076538,39,10,3.2,50,30,42.6
2019-04-15,01:25:45,34.75371,33.54688,34.75371,1.48043837995839,210.427777403777,18.7293673740573,1.45612130568755,214.640337555517,18.626557659123,-0.002962027676404,0.02670718356967,0.010722661390901,16.9767742156982,3.17313408851624,-2.75216794013977,38,44,22.2,51,11,42.2
2019-04-15,01:25:56,34.48288,33.50893,34.48288,6.66689727620432,332.887284051878,346.155469514667,6.66461215104013,334.672000529172,346.157669689354,-0.001481013838202,0.025978805497289,0.013159629888833,16.6389751434326,3.10839581489563,-2.76551985740662,38,18,24.9,51,52,10.5
2019-04-15,01:26:07,34.95405,33.60379,34.95405,33.2119451033487,97.3410351828945,7.30836900625805,32.6306311181835,96.5002935375793,7.0836920679446,-0.005183548666537,0.027192767709494,0.014134417288005,16.6212635040283,4.44226837158203,-3.052898645401,37,52,12,52,32,7.8
2019-04-15,01:26:18,34.9355,33.58482,34.9355,2.28286522535076,211.666732738082,21.5293931790203,2.27095721741967,215.877858550097,21.4787063451896,-0.003208863316104,0.026464389637113,0.013159629888833,16.8274917602539,4.0023512840271,-2.9741575717926,37,25,43.7,53,11,34.7
